Investor Date,PRIS,BERÄKNAT_SUBSTANSVÄRDE,Rabatt/Premie,Nuvarande rabatt minus snitt,Genomsnittsrabatt senaste 100 handelsdagarna,Avkastning 200 handelsdagar,OMX Date,Index Value,Avkastning OMXS#=
2016-11-28,"160,2",185.0,"1,154806492",#REF!,#REF!,"25,16%",2016-11-28,"1 472,68149394985","7,80%"
2016-11-29,"159,8",183.0,"1,145181477",#REF!,#REF!,"25,41%",2016-11-29,"1 467,17810181225","7,61%"
2016-11-30,158,185.0,"1,170886076",#REF!,#REF!,"27,15%",2016-11-30,"1 481,14084903734","6,86%"
2016-12-01,"159,8",185.0,"1,157697121",#REF!,#REF!,"26,16%",2016-12-01,"1 477,95113060148","7,20%"
2016-12-02,"158,8",184.0,"1,158690176",#REF!,#REF!,"26,64%",2016-12-02,"1 470,08278175541","7,84%"
2016-12-05,"162,6",187.0,"1,150061501",#REF!,#REF!,"24,91%",2016-12-05,"1 483,28616856019","7,62%"
2016-12-06,"162,4",188.0,"1,157635468",#REF!,#REF!,"24,63%",2016-12-06,"1 492,17069893477","7,28%"
2016-12-07,"164,3",190.0,"1,156421181",#REF!,#REF!,"23,62%",2016-12-07,"1 503,95381258581","6,66%"
2016-12-08,"164,8",192.0,"1,165048544",#REF!,#REF!,"22,88%",2016-12-08,"1 520,14803621574","5,96%"
2016-12-09,"166,9",194.0,"1,162372678",#REF!,#REF!,"20,97%",2016-12-09,"1 534,27294885465","5,83%"
2016-12-12,"165,1",195.0,"1,181102362",#REF!,#REF!,"23,44%",2016-12-12,"1 537,92540271028","5,66%"
2016-12-13,"167,3",196.0,"1,171548117",#REF!,#REF!,"23,31%",2016-12-13,"1 550,99848301163","5,60%"
2016-12-14,"167,3",195.0,"1,165570831",#REF!,#REF!,"23,85%",2016-12-14,"1 541,38807128439","6,44%"
2016-12-15,169,196.0,"1,159763314",#REF!,#REF!,"23,79%",2016-12-15,"1 550,51630921426","6,36%"
2016-12-16,"169,5",196.0,"1,156342183",#REF!,#REF!,"23,30%",2016-12-16,"1 548,19522963514","6,65%"
2016-12-19,"169,7",195.0,"1,149086623",#REF!,#REF!,"24,87%",2016-12-19,"1 542,70913908366","7,16%"
2016-12-20,"169,8",193.0,"1,136631331",#REF!,#REF!,"24,20%",2016-12-20,"1 536,72487564366","7,13%"
2016-12-21,168,193.0,"1,148809524",#REF!,#REF!,"25,89%",2016-12-21,"1 525,46718314733","8,03%"
2016-12-22,"167,5",192.0,"1,146268657",#REF!,#REF!,"26,39%",2016-12-22,"1 519,53883878117","8,21%"
2016-12-23,"167,9",193.0,"1,149493746",#REF!,#REF!,"25,67%",2016-12-23,"1 525,80136402455","7,60%"
2016-12-27,169,194.0,"1,147928994",#REF!,#REF!,"25,09%",2016-12-27,"1 533,31070328142","7,26%"
2016-12-28,"168,8",193.0,"1,143364929",#REF!,#REF!,"24,59%",2016-12-28,"1 527,30402144374","7,54%"
2016-12-29,"168,3",191.0,"1,134878194",#REF!,#REF!,"24,36%",2016-12-29,"1 518,36532122440","7,90%"
2016-12-30,"169,8",192.0,"1,130742049",#REF!,#REF!,"23,14%",2016-12-30,"1 517,19708986607","7,89%"
2017-01-02,"170,1",193.0,"1,13462669",#REF!,#REF!,"22,99%",2017-01-02,"1 526,82658186229","7,72%"
2017-01-03,"170,6",193.0,"1,13130129",#REF!,#REF!,"22,27%",2017-01-03,"1 534,69689963887","7,31%"
2017-01-04,"169,3",193.0,"1,139988187",#REF!,#REF!,"25,40%",2017-01-04,"1 530,92556801771","8,92%"
2017-01-05,"167,3",192.0,"1,147638972",#REF!,#REF!,"26,96%",2017-01-05,"1 522,10278065845","9,16%"
2017-01-09,"165,5",190.0,"1,148036254",#REF!,#REF!,"27,61%",2017-01-09,"1 509,82064359877","9,32%"
2017-01-10,167,191.0,"1,143712575",#REF!,#REF!,"26,47%",2017-01-10,"1 510,09174757427","9,25%"
2017-01-11,"167,5",192.0,"1,146268657",#REF!,#REF!,"28,72%",2017-01-11,"1 511,87615189922","9,72%"
2017-01-12,"166,3",190.0,"1,14251353",#REF!,#REF!,"29,83%",2017-01-12,"1 503,30747845734","10,76%"
2017-01-13,"166,9",192.0,"1,150389455",#REF!,#REF!,"28,16%",2017-01-13,"1 522,49013166678","9,18%"
2017-01-16,"166,4",192.0,"1,153846154",#REF!,#REF!,"29,33%",2017-01-16,"1 512,96890861372","10,49%"
2017-01-17,"164,2",191.0,"1,163215591",#REF!,#REF!,"32,40%",2017-01-17,"1 507,32014006883","10,93%"
2017-01-18,"165,9",192.0,"1,157323689",#REF!,#REF!,"30,62%",2017-01-18,"1 515,99220958619","10,34%"
2017-01-19,"166,8",193.0,"1,157074341",#REF!,#REF!,"31,77%",2017-01-19,"1 513,91670732568","10,82%"
2017-01-20,168,195.0,"1,160714286",#REF!,#REF!,"29,58%",2017-01-20,"1 525,48873608317","9,88%"
2017-01-23,"166,4",193.0,"1,159855769",#REF!,#REF!,"29,87%",2017-01-23,"1 504,68796694369","11,00%"
2017-01-24,"169,1",196.0,"1,159077469",#REF!,#REF!,"26,61%",2017-01-24,"1 522,85248532038","9,20%"
2017-01-25,"169,3",199.0,"1,175428234",#REF!,#REF!,"24,34%",2017-01-25,"1 545,98668952855","6,29%"
2017-01-26,"168,9",201.0,"1,190053286",#REF!,#REF!,"24,75%",2017-01-26,"1 553,88960123916","5,20%"
2017-01-27,"169,3",200.0,"1,181334908",#REF!,#REF!,"23,15%",2017-01-27,"1 538,76139238134","5,96%"
2017-01-30,"168,6",198.0,"1,174377224",#REF!,#REF!,"23,72%",2017-01-30,"1 528,88986015867","6,51%"
2017-01-31,"169,4",199.0,"1,174734357",#REF!,#REF!,"22,85%",2017-01-31,"1 536,75141048043","5,87%"
2017-02-01,171,201.0,"1,175438596",#REF!,#REF!,"22,51%",2017-02-01,"1 547,31011214045","5,58%"
2017-02-02,172,205.0,"1,191860465",#REF!,#REF!,"19,77%",2017-02-02,"1 551,85021400057","4,24%"
2017-02-03,"173,2",206.0,"1,189376443",#REF!,#REF!,"19,05%",2017-02-03,"1 557,31316731460","4,25%"
2017-02-06,"172,9",205.0,"1,185656449",#REF!,#REF!,"20,30%",2017-02-06,"1 548,89897469388","5,67%"
2017-02-07,"174,8",205.0,"1,172768879",#REF!,#REF!,"17,05%",2017-02-07,"1 550,94165553569","4,29%"
2017-02-08,"174,3",202.0,"1,1589214",#REF!,#REF!,"18,47%",2017-02-08,"1 549,23901735841","4,09%"
2017-02-09,"175,1",202.0,"1,153626499",#REF!,#REF!,"17,42%",2017-02-09,"1 557,49699164885","3,67%"
2017-02-10,"175,6",203.0,"1,156036446",#REF!,#REF!,"15,89%",2017-02-10,"1 562,72731741443","2,94%"
2017-02-13,"177,2",204.0,"1,151241535",#REF!,#REF!,"15,86%",2017-02-13,"1 572,18051545013","3,09%"
2017-02-14,"178,3",204.0,"1,144139091",#REF!,#REF!,"15,31%",2017-02-14,"1 569,75453119332","2,79%"
2017-02-15,"178,2",206.0,"1,156004489",#REF!,#REF!,"14,48%",2017-02-15,"1 574,02262863464","2,29%"
2017-02-16,"177,1",206.0,"1,163184641",#REF!,#REF!,"12,65%",2017-02-16,"1 576,32737521023","1,01%"
2017-02-17,"177,1",205.0,"1,157538114",#REF!,#REF!,"15,13%",2017-02-17,"1 570,58752499517","2,94%"
2017-02-20,"177,6",205.0,"1,154279279",#REF!,#REF!,"14,13%",2017-02-20,"1 576,32745257781","2,35%"
2017-02-21,"179,7",207.0,"1,151919866",#REF!,#REF!,"11,52%",2017-02-21,"1 590,08642002961","0,34%"
2017-02-22,"179,6",207.0,"1,152561247",#REF!,#REF!,"11,14%",2017-02-22,"1 582,13218028820","1,08%"
2017-02-23,"183,7",206.0,"1,121393576",#REF!,#REF!,"8,93%",2017-02-23,"1 588,30350622567","1,42%"
2017-02-24,"179,9",204.0,"1,133963313",#REF!,#REF!,"11,90%",2017-02-24,"1 569,85867722729","3,16%"
2017-02-27,179,204.0,"1,139664804",#REF!,#REF!,"12,57%",2017-02-27,"1 564,63204183327","3,78%"
2017-02-28,"178,7",204.0,"1,141578064",#REF!,#REF!,"12,59%",2017-02-28,"1 570,17238543533","3,16%"
