Investor Date;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE;Rabatt/Premie;Genomsnittsrabatt senaste 100 handelsdagarna;Nuvarande rabatt minus snitt;Avkastning 200 handelsdagar;OMX Date;Index Value;Avkastning OMXS#=
2016-11-28;309,3;380;374;1,209182024;#REF!;#REF!;23,25%;2016-11-28;1 472,68149394985;7,80%
2016-11-29;308,7;380;372;1,20505345;#REF!;#REF!;22,97%;2016-11-29;1 467,17810181225;7,61%
2016-11-30;311,5;380;373;1,197431782;#REF!;#REF!;23,43%;2016-11-30;1 481,14084903734;6,86%
2016-12-01;312,2;380;373;1,194746957;#REF!;#REF!;23,67%;2016-12-01;1 477,95113060148;7,20%
2016-12-02;310,3;380;372;1,198839832;#REF!;#REF!;24,40%;2016-12-02;1 470,08278175541;7,84%
2016-12-05;316,2;380;374;1,182795699;#REF!;#REF!;22,74%;2016-12-05;1 483,28616856019;7,62%
2016-12-06;318,6;380;374;1,17388575;#REF!;#REF!;22,16%;2016-12-06;1 492,17069893477;7,28%
2016-12-07;324,8;380;375;1,15455665;#REF!;#REF!;20,20%;2016-12-07;1 503,95381258581;6,66%
2016-12-08;326,9;380;379;1,159375956;#REF!;#REF!;20,07%;2016-12-08;1 520,14803621574;5,96%
2016-12-09;333,8;380;381;1,141402037;#REF!;#REF!;18,21%;2016-12-09;1 534,27294885465;5,83%
2016-12-12;334,3;380;382;1,14268621;#REF!;#REF!;18,82%;2016-12-12;1 537,92540271028;5,66%
2016-12-13;338,2;380;385;1,138379657;#REF!;#REF!;18,95%;2016-12-13;1 550,99848301163;5,60%
2016-12-14;337,5;380;383;1,134814815;#REF!;#REF!;20,00%;2016-12-14;1 541,38807128439;6,44%
2016-12-15;342,5;380;388;1,132846715;#REF!;#REF!;20,41%;2016-12-15;1 550,51630921426;6,36%
2016-12-16;342,2;380;388;1,13383986;#REF!;#REF!;20,08%;2016-12-16;1 548,19522963514;6,65%
2016-12-19;343,8;380;385;1,119837115;#REF!;#REF!;20,54%;2016-12-19;1 542,70913908366;7,16%
2016-12-20;344,9;380;384;1,113366193;#REF!;#REF!;20,30%;2016-12-20;1 536,72487564366;7,13%
2016-12-21;341,2;380;382;1,11957796;#REF!;#REF!;21,89%;2016-12-21;1 525,46718314733;8,03%
2016-12-22;341,2;380;381;1,116647128;#REF!;#REF!;21,31%;2016-12-22;1 519,53883878117;8,21%
2016-12-23;343,3;380;382;1,112729391;#REF!;#REF!;20,54%;2016-12-23;1 525,80136402455;7,60%
2016-12-27;343,8;380;383;1,114019779;#REF!;#REF!;20,13%;2016-12-27;1 533,31070328142;7,26%
2016-12-28;341,7;380;383;1,120866257;#REF!;#REF!;20,72%;2016-12-28;1 527,30402144374;7,54%
2016-12-29;340,8;380;381;1,117957746;#REF!;#REF!;20,69%;2016-12-29;1 518,36532122440;7,90%
2016-12-30;340,5;380;380;1,116005874;#REF!;#REF!;19,82%;2016-12-30;1 517,19708986607;7,89%
2017-01-02;341,9;380;382;1,117285756;#REF!;#REF!;20,18%;2017-01-02;1 526,82658186229;7,72%
2017-01-03;343,2;380;385;1,121794872;#REF!;#REF!;19,20%;2017-01-03;1 534,69689963887;7,31%
2017-01-04;342,7;380;384;1,120513569;#REF!;#REF!;20,86%;2017-01-04;1 530,92556801771;8,92%
2017-01-05;340;380;383;1,126470588;#REF!;#REF!;21,32%;2017-01-05;1 522,10278065845;9,16%
2017-01-09;341,6;380;383;1,121194379;#REF!;#REF!;20,58%;2017-01-09;1 509,82064359877;9,32%
2017-01-10;339,7;380;386;1,136296732;#REF!;#REF!;21,11%;2017-01-10;1 510,09174757427;9,25%
2017-01-11;340;380;386;1,135294118;#REF!;#REF!;22,91%;2017-01-11;1 511,87615189922;9,72%
2017-01-12;338,5;380;383;1,131462334;#REF!;#REF!;23,37%;2017-01-12;1 503,30747845734;10,76%
2017-01-13;343,4;380;386;1,124053582;#REF!;#REF!;19,89%;2017-01-13;1 522,49013166678;9,18%
2017-01-16;340,1;380;385;1,132019994;#REF!;#REF!;21,99%;2017-01-16;1 512,96890861372;10,49%
2017-01-17;339,7;380;384;1,130409185;#REF!;#REF!;22,25%;2017-01-17;1 507,32014006883;10,93%
2017-01-18;341,5;380;386;1,130307467;#REF!;#REF!;21,49%;2017-01-18;1 515,99220958619;10,34%
2017-01-19;342,7;380;386;1,126349577;#REF!;#REF!;21,56%;2017-01-19;1 513,91670732568;10,82%
2017-01-20;346,4;380;387;1,117205543;#REF!;#REF!;20,44%;2017-01-20;1 525,48873608317;9,88%
2017-01-23;343,9;380;383;1,113695842;#REF!;#REF!;19,89%;2017-01-23;1 504,68796694369;11,00%
2017-01-24;349,3;380;385;1,102204409;#REF!;#REF!;17,35%;2017-01-24;1 522,85248532038;9,20%
2017-01-25;356,5;380;390;1,093969144;#REF!;#REF!;13,38%;2017-01-25;1 545,98668952855;6,29%
2017-01-26;357;380;393;1,100840336;#REF!;#REF!;13,31%;2017-01-26;1 553,88960123916;5,20%
2017-01-27;354,5;380;390;1,100141044;#REF!;#REF!;13,06%;2017-01-27;1 538,76139238134;5,96%
2017-01-30;351,5;380;389;1,106685633;#REF!;#REF!;13,88%;2017-01-30;1 528,88986015867;6,51%
2017-01-31;348,9;393;398;1,140728002;#REF!;#REF!;14,65%;2017-01-31;1 536,75141048043;5,87%
2017-02-01;350,9;393;401;1,14277572;#REF!;#REF!;14,68%;2017-02-01;1 547,31011214045;5,58%
2017-02-02;352,9;393;402;1,139132899;#REF!;#REF!;13,66%;2017-02-02;1 551,85021400057;4,24%
2017-02-03;353,7;393;404;1,142210913;#REF!;#REF!;13,71%;2017-02-03;1 557,31316731460;4,25%
2017-02-06;353,2;393;403;1,140996602;#REF!;#REF!;15,35%;2017-02-06;1 548,89897469388;5,67%
2017-02-07;354;393;405;1,144067797;#REF!;#REF!;12,74%;2017-02-07;1 550,94165553569;4,29%
2017-02-08;354,6;393;402;1,133671743;#REF!;#REF!;12,38%;2017-02-08;1 549,23901735841;4,09%
2017-02-09;356,9;393;404;1,131969739;#REF!;#REF!;11,24%;2017-02-09;1 557,49699164885;3,67%
2017-02-10;355,5;393;406;1,142053446;#REF!;#REF!;11,05%;2017-02-10;1 562,72731741443;2,94%
2017-02-13;357;393;408;1,142857143;#REF!;#REF!;10,98%;2017-02-13;1 572,18051545013;3,09%
2017-02-14;357,7;393;407;1,137824993;#REF!;#REF!;10,79%;2017-02-14;1 569,75453119332;2,79%
2017-02-15;358,7;393;410;1,143016448;#REF!;#REF!;8,98%;2017-02-15;1 574,02262863464;2,29%
2017-02-16;359,7;393;409;1,13705866;#REF!;#REF!;6,64%;2017-02-16;1 576,32737521023;1,01%
2017-02-17;359,8;393;407;1,131183991;#REF!;#REF!;9,59%;2017-02-17;1 570,58752499517;2,94%
2017-02-20;359,1;393;409;1,138958507;#REF!;#REF!;9,22%;2017-02-20;1 576,32745257781;2,35%
2017-02-21;362,7;393;413;1,138682106;#REF!;#REF!;6,78%;2017-02-21;1 590,08642002961;0,34%
2017-02-22;361,5;393;412;1,139695712;#REF!;#REF!;6,89%;2017-02-22;1 582,13218028820;1,08%
2017-02-23;364,9;393;414;1,134557413;#REF!;#REF!;6,28%;2017-02-23;1 588,30350622567;1,42%
2017-02-24;358,9;393;411;1,145165784;#REF!;#REF!;8,50%;2017-02-24;1 569,85867722729;3,16%
2017-02-27;357,5;393;411;1,14965035;#REF!;#REF!;9,26%;2017-02-27;1 564,63204183327;3,78%
2017-02-28;358;393;412;1,150837989;#REF!;#REF!;8,77%;2017-02-28;1 570,17238543533;3,16%
2017-03-01;364;393;417;1,145604396;#REF!;#REF!;6,04%;2017-03-01;1 591,37279210770;1,15%
2017-03-02;361,4;393;416;1,151079137;#REF!;#REF!;6,00%;2017-03-02;1 580,53305490767;0,87%
2017-03-03;360,9;393;415;1,14990302;#REF!;#REF!;7,54%;2017-03-03;1 581,31590167998;2,17%
2017-03-06;359,4;393;414;1,151919866;#REF!;#REF!;7,23%;2017-03-06;1 575,52257830454;2,28%
2017-03-07;359,7;393;414;1,150959133;#REF!;#REF!;5,73%;2017-03-07;1 575,76844099039;1,56%
2017-03-08;360;393;415;1,152777778;#REF!;#REF!;6,50%;2017-03-08;1 578,22885701698;2,41%
2017-03-09;362,1;393;415;1,14609224;#REF!;#REF!;4,72%;2017-03-09;1 583,72972368251;1,42%
2017-03-10;365,7;393;415;1,134809954;#REF!;#REF!;3,31%;2017-03-10;1 587,92755727800;0,44%
2017-03-13;367,6;393;416;1,131664853;#REF!;#REF!;2,31%;2017-03-13;1 594,70996391128;-0,39%
2017-03-14;366;393;415;1,133879781;#REF!;#REF!;2,21%;2017-03-14;1 586,00020183031;-0,57%
2017-03-15;369,6;393;417;1,128246753;#REF!;#REF!;1,14%;2017-03-15;1 588,88872946725;-0,57%
2017-03-16;370,8;393;418;1,127292341;#REF!;#REF!;2,18%;2017-03-16;1 593,25362060558;-0,36%
2017-03-17;372;393;419;1,126344086;#REF!;#REF!;4,35%;2017-03-17;1 584,96976593324;1,18%
2017-03-20;371,7;393;420;1,129943503;#REF!;#REF!;4,92%;2017-03-20;1 583,25389820360;1,77%
2017-03-21;367,9;393;417;1,133460179;#REF!;#REF!;6,99%;2017-03-21;1 570,87696451805;3,07%
2017-03-22;364;393;416;1,142857143;#REF!;#REF!;8,30%;2017-03-22;1 562,96130483029;4,44%
2017-03-23;366,8;393;419;1,142311887;#REF!;#REF!;7,47%;2017-03-23;1 581,28493632786;3,04%
2017-03-24;363,8;393;419;1,151731721;#REF!;#REF!;8,41%;2017-03-24;1 579,69847267015;3,20%
2017-03-27;364,8;393;418;1,145833333;#REF!;#REF!;7,54%;2017-03-27;1 574,51084497791;3,42%
2017-03-28;365,7;393;420;1,148482363;#REF!;#REF!;7,47%;2017-03-28;1 580,08856826432;2,99%
2017-03-29;371,5;393;421;1,133243607;#REF!;#REF!;5,17%;2017-03-29;1 584,43031234387;2,45%
2017-03-30;372;393;423;1,137096774;#REF!;#REF!;5,40%;2017-03-30;1 583,88218338252;2,46%
