DATUM,PRIS,BERÄKNAT_SUBSTANSVÄRDE,Rabatt/Premie,Nuvarande rabatt minus snitt,Genomsnittsrabatt senaste 100 handelsdagarna,Avkastning 200 handelsdagar,OMX Date,Index  Value,Avkastning OMXS#=
2016-11-28,"83,85","80,5","0,960047704",#REF!,#REF!,"26,89%",2016-11-28,"1 472,68149394985","7,80%"
2016-11-29,"83,725","80,75","0,964467005",#REF!,#REF!,"26,60%",2016-11-29,"1 467,17810181225","7,61%"
2016-11-30,"84,075","81,75","0,97234612",#REF!,#REF!,"27,51%",2016-11-30,"1 481,14084903734","6,86%"
2016-12-01,"83,4",81,"0,971223022",#REF!,#REF!,"29,14%",2016-12-01,"1 477,95113060148","7,20%"
2016-12-02,"83,275","80,5","0,966676674",#REF!,#REF!,"29,69%",2016-12-02,"1 470,08278175541","7,84%"
2016-12-05,"84,5","80,25","0,949704142",#REF!,#REF!,"29,47%",2016-12-05,"1 483,28616856019","7,62%"
2016-12-06,"84,05","80,25","0,954788816",#REF!,#REF!,"30,16%",2016-12-06,"1 492,17069893477","7,28%"
2016-12-07,"83,5","79,75","0,95508982",#REF!,#REF!,"30,30%",2016-12-07,"1 503,95381258581","6,66%"
2016-12-08,"84,25","79,75","0,946587537",#REF!,#REF!,"27,60%",2016-12-08,"1 520,14803621574","5,96%"
2016-12-09,"84,625","80,5","0,951255539",#REF!,#REF!,"27,50%",2016-12-09,"1 534,27294885465","5,83%"
2016-12-12,"84,3","80,5","0,954922894",#REF!,#REF!,"29,66%",2016-12-12,"1 537,92540271028","5,66%"
2016-12-13,"84,35","81,5","0,966212211",#REF!,#REF!,"30,76%",2016-12-13,"1 550,99848301163","5,60%"
2016-12-14,85,"81,5","0,958823529",#REF!,#REF!,"30,47%",2016-12-14,"1 541,38807128439","6,44%"
2016-12-15,"85,45","81,75","0,956699824",#REF!,#REF!,"31,42%",2016-12-15,"1 550,51630921426","6,36%"
2016-12-16,"85,225","82,25","0,965092402",#REF!,#REF!,"32,94%",2016-12-16,"1 548,19522963514","6,65%"
2016-12-19,"85,375","82,5","0,966325037",#REF!,#REF!,"32,01%",2016-12-19,"1 542,70913908366","7,16%"
2016-12-20,"85,525","82,5","0,964630225",#REF!,#REF!,"31,54%",2016-12-20,"1 536,72487564366","7,13%"
2016-12-21,"84,875",82,"0,966126657",#REF!,#REF!,"32,90%",2016-12-21,"1 525,46718314733","8,03%"
2016-12-22,"83,875","82,5","0,983606557",#REF!,#REF!,"35,68%",2016-12-22,"1 519,53883878117","8,21%"
2016-12-23,"84,125","82,25","0,977711738",#REF!,#REF!,"35,51%",2016-12-23,"1 525,80136402455","7,60%"
2016-12-27,"83,875",83,"0,989567809",#REF!,#REF!,"37,82%",2016-12-27,"1 533,31070328142","7,26%"
2016-12-28,"84,55",83,"0,981667652",#REF!,#REF!,"36,61%",2016-12-28,"1 527,30402144374","7,54%"
2016-12-29,"85,2","82,5","0,968309859",#REF!,#REF!,"35,92%",2016-12-29,"1 518,36532122440","7,90%"
2016-12-30,"85,55","82,5","0,964348334",#REF!,#REF!,"34,31%",2016-12-30,"1 517,19708986607","7,89%"
2017-01-02,"86,3",83,"0,961761298",#REF!,#REF!,"33,26%",2017-01-02,"1 526,82658186229","7,72%"
2017-01-03,"84,9","83,25","0,980565371",#REF!,#REF!,"34,86%",2017-01-03,"1 534,69689963887","7,31%"
2017-01-04,"84,75","83,25","0,982300885",#REF!,#REF!,"35,22%",2017-01-04,"1 530,92556801771","8,92%"
2017-01-05,"83,75","82,5","0,985074627",#REF!,#REF!,"36,36%",2017-01-05,"1 522,10278065845","9,16%"
2017-01-09,"82,5","82,5",1,#REF!,#REF!,"38,42%",2017-01-09,"1 509,82064359877","9,32%"
2017-01-10,"82,3","82,25","0,999392467",#REF!,#REF!,"38,27%",2017-01-10,"1 510,09174757427","9,25%"
